Run,Program Version,Time Started (UTC),Minutes Spent,Points,desirability_options,identification_options,openness_score,conscientiousness_score,honesty_score,Position,passed_quiz,"So, which of the following things will you do in this first section of the survey? (3kfdaed)",I am highly intelligent. (desirability_63),"So, which of the following things will you do in this second section of the survey? (7deplab)",I usually think everything should be in its proper place. (5i0wve0),I would lie during an interview. (24sl5h9),I am usually punctual. (fk7t4rr),I am always open to trying new things. (82p7by1),I think that omitting important facts in a way that misleads people is not as bad as lying. (gd0syni),I am sometimes just a little late for things. (88faqmy),I would not pay a contractor to whom I owed money if I found a legal way to avoid paying them. (joxeo83),I am highly intelligent. (fz9zeg),I would take a loan that I had no intention of ever paying back. (z9wk2b9),I enjoy learning new concepts. (bw627yv),I don-t mind cleaning up. (9f6fevw),I would not fake numbers in a document. (fgx8age),I am a person who likes to think. (pipm1ta),I might pretend I am sick just so I can skip a day of work. (i2bbe7p),I would not plagiarize the work of another person (pretending I wrote it). (s7w7qvk),I am typically quite organized. (61zt23q),I come up with creative new ideas. (8w2y25l),"I think it-s fine to tell white lies, if they are told to make people feel better. (et6gy53)",I don-t trust intelligent people. (nfwpqlp),I think that the best people are ones who have found a balance between emotion and intellect. (a0801tz),I could definitely benefit by becoming more organized than I currently am. (dokbiny),I don-t like things to be too organized. (8b4ckde),I would exaggerate the number of hours I worked on a project in order to look better. (re8wg9m),I think that opinion is way more important than fact. (ot3i4fn),I don-t beat myself up if I show up 5 minutes late. (6adwfcn)
3780984,19,1/23/19 21:13,4.65,0,"[[+4. Extremely good, 4], [+3. Very good, 3], [+2. Moderately good, 2], [+1. A little good, 1], [0. Neither good nor bad, 0], [-1. A little bad, -1], [-2. Moderately bad, -2], [-3. Very bad, -3], [-4. Extremely bad, -4]]","[[Totally agree, 3], [Agree, 2], [Somewhat agree, 1], [Neither agree nor disagree, 0], [Somewhat disagree, -1], [Disagree, -2], [Totally disagree, -3]]",3,7,5,eplruae,1,I'll indicate how much the statements match my own personality. | I'll indicate how good or bad my agreement with the statements would make me look to an employer.,4,I'll indicate how much I actually agree or disagree with the statements when it comes to my real personality.,1,2,-1,2,-1,1,0,0,-1,-1,-1,3,-1,1,1,-1,-1,0,1,0,1,0,-3,2,2
3780973,19,1/23/19 21:12,6.92,0,"[[+4. Extremely good, 4], [+3. Very good, 3], [+2. Moderately good, 2], [+1. A little good, 1], [0. Neither good nor bad, 0], [-1. A little bad, -1], [-2. Moderately bad, -2], [-3. Very bad, -3], [-4. Extremely bad, -4]]","[[Totally agree, 3], [Agree, 2], [Somewhat agree, 1], [Neither agree nor disagree, 0], [Somewhat disagree, -1], [Disagree, -2], [Totally disagree, -3]]",21,39,28,eplruae,1,I'll indicate how good or bad my agreement with the statements would make me look to an employer.,4,I'll indicate how much I actually agree or disagree with the statements when it comes to my real personality.,2,-3,1,2,-2,2,-2,3,-3,2,1,3,2,0,3,1,2,0,-3,3,1,-2,-3,-1,0
3780972,19,1/23/19 21:12,7.58,0,"[[+4. Extremely good, 4], [+3. Very good, 3], [+2. Moderately good, 2], [+1. A little good, 1], [0. Neither good nor bad, 0], [-1. A little bad, -1], [-2. Moderately bad, -2], [-3. Very bad, -3], [-4. Extremely bad, -4]]","[[Totally agree, 3], [Agree, 2], [Somewhat agree, 1], [Neither agree nor disagree, 0], [Somewhat disagree, -1], [Disagree, -2], [Totally disagree, -3]]",29,41,16,eplruae,1,I'll indicate how good or bad my agreement with the statements would make me look to an employer.,4,I'll indicate how much I actually agree or disagree with the statements when it comes to my real personality.,1,-2,2,2,-1,-1,-2,2,-2,2,2,2,3,1,2,2,2,-1,-2,2,1,-1,-1,-1,2
3781003,19,1/23/19 21:13,7.05,0,"[[+4. Extremely good, 4], [+3. Very good, 3], [+2. Moderately good, 2], [+1. A little good, 1], [0. Neither good nor bad, 0], [-1. A little bad, -1], [-2. Moderately bad, -2], [-3. Very bad, -3], [-4. Extremely bad, -4]]","[[Totally agree, 3], [Agree, 2], [Somewhat agree, 1], [Neither agree nor disagree, 0], [Somewhat disagree, -1], [Disagree, -2], [Totally disagree, -3]]",5,18,6,eplruae,1,I'll indicate how good or bad my agreement with the statements would make me look to an employer.,-2,I'll indicate how good or bad the statements make me feel. | I'll indicate how good or bad the statements make me feel. | I'll indicate how much I actually agree or disagree with the statements when it comes to my real personality.,1,0,2,-1,-2,1,-2,0,0,3,1,-2,2,1,-1,0,2,-1,-2,-2,1,-2,-1,0,-1
3781047,19,1/23/19 21:14,6.28,0,"[[+4. Extremely good, 4], [+3. Very good, 3], [+2. Moderately good, 2], [+1. A little good, 1], [0. Neither good nor bad, 0], [-1. A little bad, -1], [-2. Moderately bad, -2], [-3. Very bad, -3], [-4. Extremely bad, -4]]","[[Totally agree, 3], [Agree, 2], [Somewhat agree, 1], [Neither agree nor disagree, 0], [Somewhat disagree, -1], [Disagree, -2], [Totally disagree, -3]]",-10,44,15,eplruae,1,I'll indicate how good or bad my agreement with the statements would make me look to an employer.,2,I'll indicate how good or bad my agreement with the statements would make me look to an employer. | I'll indicate how much I actually agree or disagree with the statements when it comes to my real personality.,3,-3,3,3,0,1,-2,-2,3,-1,0,-3,2,1,-1,3,2,2,-1,2,2,-1,3,2,2
3781083,19,1/23/19 21:16,4.58,0,"[[+4. Extremely good, 4], [+3. Very good, 3], [+2. Moderately good, 2], [+1. A little good, 1], [0. Neither good nor bad, 0], [-1. A little bad, -1], [-2. Moderately bad, -2], [-3. Very bad, -3], [-4. Extremely bad, -4]]","[[Totally agree, 3], [Agree, 2], [Somewhat agree, 1], [Neither agree nor disagree, 0], [Somewhat disagree, -1], [Disagree, -2], [Totally disagree, -3]]",12,-11,0,eplruae,1,I'll indicate how much the statements match my own personality. | I'll indicate how good or bad my agreement with the statements would make me look to an employer.,-1,I'll indicate how good or bad my agreement with the statements would make me look to an employer. | I'll indicate how good or bad my agreement with the statements would make me look to an employer. | I'll indicate how good or bad the statements make me feel. | I'll indicate how good or bad my agreement with the statements would make me look to an employer. | I'll indicate how good or bad my agreement with the statements would make me look to an employer. | I'll indicate how much I actually agree or disagree with the statements when it comes to my real personality.,-2,1,1,-2,2,0,2,2,2,1,2,2,1,3,-1,2,1,-2,1,3,-1,1,3,3,2
3781025,19,1/23/19 21:13,7.42,0,"[[+4. Extremely good, 4], [+3. Very good, 3], [+2. Moderately good, 2], [+1. A little good, 1], [0. Neither good nor bad, 0], [-1. A little bad, -1], [-2. Moderately bad, -2], [-3. Very bad, -3], [-4. Extremely bad, -4]]","[[Totally agree, 3], [Agree, 2], [Somewhat agree, 1], [Neither agree nor disagree, 0], [Somewhat disagree, -1], [Disagree, -2], [Totally disagree, -3]]",39,26,5,eplruae,1,I'll indicate how good or bad my agreement with the statements would make me look to an employer.,2,I'll indicate how much I actually agree or disagree with the statements when it comes to my real personality.,2,-1,2,2,2,2,3,2,-2,2,2,-2,2,2,3,2,2,2,-2,2,2,-2,2,-2,2
3780969,19,1/23/19 21:13,7.88,0,"[[+4. Extremely good, 4], [+3. Very good, 3], [+2. Moderately good, 2], [+1. A little good, 1], [0. Neither good nor bad, 0], [-1. A little bad, -1], [-2. Moderately bad, -2], [-3. Very bad, -3], [-4. Extremely bad, -4]]","[[Totally agree, 3], [Agree, 2], [Somewhat agree, 1], [Neither agree nor disagree, 0], [Somewhat disagree, -1], [Disagree, -2], [Totally disagree, -3]]",51,3,34,eplruae,1,I'll indicate how good or bad my agreement with the statements would make me look to an employer.,0,I'll indicate how much I actually agree or disagree with the statements when it comes to my real personality.,-2,-3,-1,3,-3,1,-3,3,-3,1,-1,3,2,-2,3,-2,-2,1,-3,0,2,2,-3,-2,-2
3781038,19,1/23/19 21:14,7.17,0,"[[+4. Extremely good, 4], [+3. Very good, 3], [+2. Moderately good, 2], [+1. A little good, 1], [0. Neither good nor bad, 0], [-1. A little bad, -1], [-2. Moderately bad, -2], [-3. Very bad, -3], [-4. Extremely bad, -4]]","[[Totally agree, 3], [Agree, 2], [Somewhat agree, 1], [Neither agree nor disagree, 0], [Somewhat disagree, -1], [Disagree, -2], [Totally disagree, -3]]",9,-2,1,eplruae,1,I'll indicate how good or bad my agreement with the statements would make me look to an employer.,3,I'll indicate how much I actually agree or disagree with the statements when it comes to my real personality.,2,2,1,1,2,1,1,2,2,0,2,1,0,0,1,1,1,2,2,1,1,-1,-1,2,1
3781053,19,1/23/19 21:15,6.75,0,"[[+4. Extremely good, 4], [+3. Very good, 3], [+2. Moderately good, 2], [+1. A little good, 1], [0. Neither good nor bad, 0], [-1. A little bad, -1], [-2. Moderately bad, -2], [-3. Very bad, -3], [-4. Extremely bad, -4]]","[[Totally agree, 3], [Agree, 2], [Somewhat agree, 1], [Neither agree nor disagree, 0], [Somewhat disagree, -1], [Disagree, -2], [Totally disagree, -3]]",4,5,5,eplruae,1,I'll indicate how good or bad my agreement with the statements would make me look to an employer.,4,I'll indicate how much I actually agree or disagree with the statements when it comes to my real personality.,0,-2,0,0,-1,-1,-1,0,-1,1,1,0,0,-1,0,0,1,0,-1,0,0,0,0,-1,0
