Minutes Spent,Points,age,device,gender,education,startedAt,yearOfBirth,educationScore,computerCountry,householdIncome,femaleAs1MaleAs0,householdIncomeScore,householdIncomeEstimate,Run,Program Version,Time Started (UTC),Position,numberOfTotalSections,in_progressIncrement,User,Do you consent to participate and agree to these terms? (tt8ht02),partOfAnotherStudy,Please describe what you view as the *single biggest problem* in your life right now. (oeneidz),biggestLifeProblem,Which *one* of these categories best matches what you described as the biggest problem in your life right now? (vldz3v3),biggestProblem,biggestProblemType,"Do any of the remaining categories (that you did *not* select already) apply to *this same* problem you wrote about? If so, choose the category that best describes this problem. If none apply (other than the one you selected previously) just choose the option -*None of these categories apply*-. (49929eh)",biggestProblem2nd,biggestProblem2ndType,Do you think this would still be *one of your two biggest* problems in life if we were not currently going through the global COVID-19 pandemic? (61017ps),biggestProblemStillWouldBeWithoutCOVID,Please describe what you view as your *second* biggest problem in your life right now. (zxeicxk),secondBiggestLifeProblem,Which *one* of these categories best matches what you described as the *second* biggest problem in your life right now? (qtqzid2),secondBiggestProblem,secondBiggestProblemType,"Do any of the remaining categories (that you did *not* select already) apply to *this same* problem you wrote about (shown above)? If so, choose the category that best describes this second biggest problem of yours. If none apply (other than the one you selected previously) just choose the option -*None of these categories apply*-. (1zmhlg8)",secondBiggestProblem2nd
19.22,0,48,desktop,male,completedAssociateDegreeOnly,11/5/20 22:08,1972,4,United States,"$25,000 to $39,999",0,2,32500,5804668,4,11/6/20 3:09,l63lzmy,17,0.058823529,,I consent to participate and agree to the terms above,1,"I got a new wheelchair, and it is a bit more difficult to get out the door than the old one was.","I got a new wheelchair, and it is a bit more difficult to get out the door than the old one was.",*Injury or disability*: I have a physical disability or injury,physicalDisability,health,"*Lack of freedom*: I lack the freedom I desire, or don't have enough autonomy, or have overly strict rules I have to follow",lackFreedomOrAutonomy,lackFreedom,"Yes, it still would likely be one of my two biggest life problems without COVID",1,Dealing with dialysis.,Dealing with dialysis.,*Health issue*: I have health problems or an illness,unemployment,health,"*Need something*: I need a thing or resource (other than money) that is challenging for me to find (e.g., I need to find a new place to live, or insurance, or a new school for my children, or a nursing home for my parent)",needAThingOrResourceThatIsHardToFind
5.7,0,45,desktop,male,completedBachelorsDegree,11/5/20 22:26,1975,5,United States,"$115,000 to $149,999",0,6,132500,5804686,4,11/6/20 3:28,l63lzmy,17,0.058823529,,I consent to participate and agree to the terms above,1,its work related problems.,its work related problems.,*Lack of goals*: I lack ambition or I lack long term goals that matter to me,lowAmbitionOrNoLongTermGoals,goals,*Health issue*: I have health problems or an illness,unemployment,health,"Yes, it still would likely be one of my two biggest life problems without COVID",1,its family related problems,its family related problems,*Dislike work*: I dislike my job or career,dislikeJob,work,*Addiction*: I am addicted to drugs or alcohol,addiction
39.22,0,45,desktop,male,completedTradeTechicalVocationalTraing,11/5/20 22:16,1975,3,United States,"$60,000 to $84,999",0,4,72500,5804678,4,11/6/20 3:17,l63lzmy,17,0.058823529,,I consent to participate and agree to the terms above,1,I have been laid off of work for a few months and I am behind on my bills and my mortgage.,I have been laid off of work for a few months and I am behind on my bills and my mortgage.,*Insufficient savings*: I don't have enough savings or I have too much debt,notEnoughSavingsTooMuchDebt,money,*Unemployment*: I am unemployed or I am having trouble finding enough work,unemployment,work,"Yes, it still would likely be one of my two biggest life problems without COVID",1,my second biggest problem is that I am single and cannot find a good woman to marry.,my second biggest problem is that I am single and cannot find a good woman to marry.,"*Loneliness*: I don't have enough friends or people I am close to, or lack a romantic partner, or I am lonely, or I am away from my loved ones",notEnoughFriendsOrLonely,social,*None of these categories apply other than the one I already picked on the last question*,none
41.78,0,31,desktop,female,completedOnlyHighSchoolOrTheEquivalent,11/5/20 22:02,1989,2,United States,"$25,000 to $39,999",1,2,32500,5804675,4,11/6/20 3:14,l63lzmy,17,0.058823529,,I consent to participate and agree to the terms above,1,I currently am dealing with trying to recover from shoulder surgery that I had just gotten a few weeks ago. It is a problem because there really is not a lot that I can do right now.,I currently am dealing with trying to recover from shoulder surgery that I had just gotten a few weeks ago. It is a problem because there really is not a lot that I can do right now.,*Injury or disability*: I have a physical disability or injury,physicalDisability,health,*Health issue*: I have health problems or an illness,unemployment,health,"Yes, it still would likely be one of my two biggest life problems without COVID",1,I do not take time out for myself or take the time to rest.,I do not take time out for myself or take the time to rest.,"*Insufficient self-care*: I don't take care of myself, or I don't engage in self-care, or I don't put effort into solving my problems",doNotTakeCareOfSelf,behavior,"*Too busy*: I don't have enough time each week to get everything done that I need to do, or don't have enough free time",notEnoughTime
35.58,0,38,desktop,male,completedBachelorsDegree,11/5/20 22:30,1982,5,United States,"$60,000 to $84,999",0,4,72500,5804693,4,11/6/20 3:31,l63lzmy,17,0.058823529,,I consent to participate and agree to the terms above,1,credit card debt from poor spending habits and bad jobs from many years ago.,credit card debt from poor spending habits and bad jobs from many years ago.,*Insufficient savings*: I don't have enough savings or I have too much debt,notEnoughSavingsTooMuchDebt,money,*Low income*: I don't have enough income,notEnoughIncome,money,"Yes, it still would likely be one of my two biggest life problems without COVID",1,not enough time to develop new skills so I can move jobs.,not enough time to develop new skills so I can move jobs.,"*Too busy*: I don't have enough time each week to get everything done that I need to do, or don't have enough free time",notEnoughTime,time,*Dislike work*: I dislike my job or career,dislikeJob
21.47,0,35,desktop,female,completedBachelorsDegree,11/5/20 22:57,1985,5,United States,"$85,000 to $114,999",1,5,100000,5804727,4,11/6/20 3:57,l63lzmy,17,0.058823529,,I consent to participate and agree to the terms above,1,The only single biggest problem in my life right now is the fact that I have to stay on medications for the rest of my life to fight Diabetes.,The only single biggest problem in my life right now is the fact that I have to stay on medications for the rest of my life to fight Diabetes.,*Health issue*: I have health problems or an illness,unemployment,health,*None of these categories apply other than the one I already picked on the last question*,none,none,"Yes, it still would likely be one of my two biggest life problems without COVID",1,Covid-19,Covid-19,*Health issue*: I have health problems or an illness,unemployment,health,*None of these categories apply other than the one I already picked on the last question*,none
10.55,0,37,desktop,female,completedBachelorsDegree,11/5/20 23:10,1983,5,United States,"$115,000 to $149,999",1,6,132500,5804741,4,11/6/20 4:11,l63lzmy,17,0.058823529,,I consent to participate and agree to the terms above,1,A health problem that causes me a lot of pain and that nobody knows what is wrong with me. It is destroying my life.,A health problem that causes me a lot of pain and that nobody knows what is wrong with me. It is destroying my life.,*Health issue*: I have health problems or an illness,unemployment,health,"*Depression*: I struggle with depression, or feeling down, or feeling hopeless, or have an inability to feel pleasure",depression,psychology,"Yes, it still would likely be one of my two biggest life problems without COVID",1,Being depressed and anxious all the time.,Being depressed and anxious all the time.,"*Depression*: I struggle with depression, or feeling down, or feeling hopeless, or have an inability to feel pleasure",depression,psychology,"*Anxiety*: I struggle with anxiety, or fear, or worry, or too much stress",anxiety
19.23,0,63,desktop,female,completedMastersDegree,11/5/20 23:03,1957,6,United States,"$40,000 to $59,999",1,3,50000,5804735,4,11/6/20 4:03,l63lzmy,17,0.058823529,,I consent to participate and agree to the terms above,1,"my pet, who is having some health issues, may be major. Trying to get some help in finding out. it's a 24 hour a day issue.","my pet, who is having some health issues, may be major. Trying to get some help in finding out. it's a 24 hour a day issue.","*Concern*: someone I love is going through a difficult situation (e.g., a child, family member or friend is suffering or in trouble)",lovedOneDifficultSituation,social,*Difficult decision*: I have a difficult decision or problem that I'm faced with and I don't know what choice to make or what to do about it,difficultDecision,decision,"Yes, it still would likely be one of my two biggest life problems without COVID",1,the state of my home and not finding appropriate people to help me fix things,the state of my home and not finding appropriate people to help me fix things,"*Need something*: I need a thing or resource (other than money) that is challenging for me to find (e.g., I need to find a new place to live, or insurance, or a new school for my children, or a nursing home for my parent)",needAThingOrResourceThatIsHardToFind,resource,*Behavior of others*: I am being let down or hurt by the unfortunate behavior of one or more other people,badBehaviorOfOthers
28.75,0,21,desktop,male,completedAssociateDegreeOnly,11/5/20 22:02,1999,4,United States,"$10,000 to $24,999",0,1,17500,5804723,4,11/6/20 3:54,l63lzmy,17,0.058823529,,I consent to participate and agree to the terms above,1,The single biggest problem in my life right now is trying to balance my career and family together amidst the current pandemic. I am trying to do in my career and advance my future but the current problems of having to take care of my family and be prepared for the consequences of the virus are impeding progress.,The single biggest problem in my life right now is trying to balance my career and family together amidst the current pandemic. I am trying to do in my career and advance my future but the current problems of having to take care of my family and be prepared for the consequences of the virus are impeding progress.,"*Uncertainty or risk*: I am worried about a specific possible bad thing that seems like it could happen in the future, or unsure if a big thing in the future will go badly (e.g., the possibility of getting sick, or getting fired, or of the economy crashing, or a hurricane coming)",worriedAboutBadSpecificThingThatMightHappen,possibleBadFutureEvent,*Difficult decision*: I have a difficult decision or problem that I'm faced with and I don't know what choice to make or what to do about it,difficultDecision,decision,"No, it would not",0,My second biggest problem is trying to also maintain a good income during the pandemic. I need to be able to make a certain amount of money each month to provide for my family and make sure that we stay in good health.,My second biggest problem is trying to also maintain a good income during the pandemic. I need to be able to make a certain amount of money each month to provide for my family and make sure that we stay in good health.,*Low income*: I don't have enough income,notEnoughIncome,money,*Insufficient planning*: I don't plan ahead when I should,doNotPlanAhead
35.12,0,29,desktop,female,completedOnlyHighSchoolOrTheEquivalent,11/5/20 22:02,1991,2,United States,"$40,000 to $59,999",1,3,50000,5804717,4,11/6/20 3:49,l63lzmy,17,0.058823529,,I consent to participate and agree to the terms above,1,"That I am unable to get my license back after I received a DUI 2 years ago, and now with COVID-19, I'm not even going to be able to schedule a road test anywhere until 2021-2022!","That I am unable to get my license back after I received a DUI 2 years ago, and now with COVID-19, I'm not even going to be able to schedule a road test anywhere until 2021-2022!","*Need something*: I need a thing or resource (other than money) that is challenging for me to find (e.g., I need to find a new place to live, or insurance, or a new school for my children, or a nursing home for my parent)",needAThingOrResourceThatIsHardToFind,resource,"*Legal issue*: I have legal challenges (e.g., a lawsuit, or being charged with a crime, or a custody battle)",legalChallenge,legal,"No, it would not",0,My 18 year old cat is very old and I do not have the money to put him down right now.,My 18 year old cat is very old and I do not have the money to put him down right now.,*Other*: (something else not mentioned in this list),other,other,*None of these categories apply other than the one I already picked on the last question*,none
