Minutes Spent,Points,Run,Program Version,Time Started (UTC),Position,User,Do you consent to participate and agree to these terms? (oo4eyne),in_progressIncrement,What are your current meditative and spiritual practices? Please tick all that apply. (ua0spdk),spiritualPracticeChecklistAnswers,Please share your current meditative and spiritual practices. (yj7qwt4),freetextifSomethingElseisaPractice,"Over your whole lifetime, approximately how many meditation or spiritual retreats have you attended? (dxbqro5)","Over your whole lifetime, approximately how many total hours of formal meditation practice, prayer, or mindful contemplation from any spiritual tradition have you done? (2eykr8v)",hoursofMindFocusedPracticeLifetime,"Over your whole lifetime, approximately how many total hours of other formal breath or movement-based practice have you done (for example, yoga, tai chi, qi gong, martial arts, but NOT including activities such as team sports or athletics). (fsr58uk)",hoursofBodyFoucsedPracticeLifetime,out_progress,"Have you ever taken psychedelic drugs and then experienced lasting, significant or sudden change to your emotions, paradigms, habits, sense of identity, or perception of life? (cgjc4xu)",drugImpacts,"Have you ever explicitly attempted any formal magical, divine or occult practices, such as healing prayer, banishing, spirit contact, mind reading, clairvoyance, divination, astral travel, spell casting, or telekinesis? (a250clw)",magicalPracticesFreq,"Have you ever had any supernatural experiences, such that you believe the ordinary laws of physics could not explain, so they appear to be -miraculous, or -magical-, or -psychic-? (nd7atoc)",supernaturalExperiences,"Please share any supernatural experiences you-ve had, such that you believe the ordinary laws of physics could not explain, so they appear to be -miraculous, or -magical-, or -psychic-. (e0kzqd7)",freetextifSomethingElseisanExperience,"Have you ever had sudden unusual mental events that involved strange changes in perception, or ecstatic pleasurable feelings (while not on any mind-altering substance), that later faded? (eczytws)",unusualNondrugMentalEvents,"Please share any other sudden unusual mental events that involved strange changes in perception, or ecstatic pleasurable feelings (while not on any mind-altering substance), that later faded. (iyy6byr)",freetextNondrugMentalEventswereSomethingElse,Please write the number of retreats you-ve attended. (ulbtcpw),noRetreats,Please estimate the total number of days you-ve had on retreats so far in your life. (261my3q),noDaysofRetreat,"Over your whole lifetime, approximately how many meditation or spiritual retreats have you attended? (fz15ziw)",Please estimate the total number of days you-ve spent on retreats so far in your life. (ogyyvcs),"Have you ever had any supernatural experiences, such that you believe the ordinary laws of physics could not explain them, so they appear to be -miraculous, or -magical-, or -psychic-? (ovc05rd)","Please share any supernatural experiences you-ve had, such that you believe the ordinary laws of physics could not explain them, so they appear to be -miraculous, or -magical-, or -psychic-. (x3yjzfj)","Sometimes these unusual mental events are seen in positive and-or transformative terms, even if they weren-t all pleasant. Which of these terms (or their very near equivalents) you have ever thought might reasonably apply to what was going on with you? (rf9besl)"
9.65,0,5955333,54,12/21/20 4:33,vuui9i,,I consent to participate and agree to the terms above,0.14,,"[""Christian prayer or spiritual practice""]",,,,40,40,10.0,10.0,0.84,,,No – I have never practiced or attempted such practices,0,,"[""No, I have never had such experiences""]",,,"No, I have never had such experiences","[""No, I have never had such experiences""]",,,,,,,I haven't attended any.,,"No, I have never had such experiences",,Other
13.33,0,5955346,54,12/21/20 4:36,vuui9i,,I consent to participate and agree to the terms above,0.14,,"[""Eastern mindfulness (e.g. Satipatthana, or the four foundations of mindfulness)"",""Theravada/Mahasi/Thai insight meditation"",""Yoga, tai chi, or other formal breath and movement work including martial arts""]",,,,2000,2000,200.0,200.0,0.84,,,No – I have never practiced or attempted such practices,0,,"[""No, I have never had such experiences""]",,,"No, I have never had such experiences","[""No, I have never had such experiences""]",,,6.0,6.0,,65.0,I've attended at least one.,65.0,"No, I have never had such experiences",,"I read the question, but I never thought any of these applied to me"
18.98,0,5955331,54,12/21/20 4:33,vuui9i,,I consent to participate and agree to the terms above,0.14,,"[""Christian prayer or spiritual practice""]",,,,55,55,0.0,0.0,0.84,,0,No – I have never practiced or attempted such practices,0,,"[""Yes, I have experience of leaving my body behind to travel to some other place"",""Yes, something else""]",,"One night as I was listening to a Moody Blues CD I had the strangest sensation of leaving my own body and watching myself from above. 
My father passed shortly before Thanksgiving when my son was three. I had taken my son to a crowded mall for Black Friday and we got separated. I could not find him anywhere. A kind woman went to find a security guard and had me wait at the store where my son had disappeared. As I waited, rather than praying to God as I usually do, I ""prayed"" to my father and asked him to help find my son and bring him back safely. Within just a minute or two after that entreaty, I looked up to see security and the woman walking towards me holding my son's hands. I just knew in my heart and gut that my father had intervened and help them locate my son, who had made his way all the way to the other end of mall in the game room where they found him pressing buttons and thinking he was playing a video game. To this day I am convinced that my father's spirit was instrumental in getting my son back to me safe and sound.","Yes, I suddenly unexpectedly felt strong ecstatic thrills running through my body","[""Yes, I suddenly unexpectedly felt strong ecstatic thrills running through my body""]",,,13.0,13.0,,46.0,I've attended at least one.,46.0,"Yes, I have experience of leaving my body behind to travel to some other place,Yes, something else","One night as I was listening to a Moody Blues CD I had the strangest sensation of leaving my own body and watching myself from above. 
My father passed shortly before Thanksgiving when my son was three. I had taken my son to a crowded mall for Black Friday and we got separated. I could not find him anywhere. A kind woman went to find a security guard and had me wait at the store where my son had disappeared. As I waited, rather than praying to God as I usually do, I ""prayed"" to my father and asked him to help find my son and bring him back safely. Within just a minute or two after that entreaty, I looked up to see security and the woman walking towards me holding my son's hands. I just knew in my heart and gut that my father had intervened and help them locate my son, who had made his way all the way to the other end of mall in the game room where they found him pressing buttons and thinking he was playing a video game. To this day I am convinced that my father's spirit was instrumental in getting my son back to me safe and sound.",Spiritual Ecstasy
21.33,0,5955372,54,12/21/20 4:43,vuui9i,2wczvqt,I consent to participate and agree to the terms above,0.14,,[],,,,0,0,0.0,0.0,0.84,,,No – I have never practiced or attempted such practices,0,,"[""No, I have never had such experiences""]",,,"No, I have never had such experiences","[""No, I have never had such experiences""]",,,,,,,I haven't attended any.,,"No, I have never had such experiences",,"I read the question, but I never thought any of these applied to me"
13.37,0,5955407,54,12/21/20 4:52,vuui9i,,I consent to participate and agree to the terms above,0.14,,"[""Physical meditation (e.g. breath, body awareness, loving kindness, jhana)"",""Yoga, tai chi, or other formal breath and movement work including martial arts""]",,,,16,16,14.0,14.0,0.84,,1,Yes – I did this a lot in the past,2,,"[""No, I have never had such experiences""]",,,"No, I have never had such experiences","[""No, I have never had such experiences""]",,,1.0,1.0,,2.0,I've attended at least one.,2.0,"No, I have never had such experiences",,"Non-Duality,I read the question, but I never thought any of these applied to me"
37.15,0,5955360,54,12/21/20 4:39,vuui9i,,I consent to participate and agree to the terms above,0.14,,[],,,,0,0,0.0,0.0,0.84,,unsure,No – I have never practiced or attempted such practices,0,,"[""No, I have never had such experiences""]",,,"No, I have never had such experiences","[""No, I have never had such experiences""]",,,,,,,I haven't attended any.,,"No, I have never had such experiences",,"I read the question, but I never thought any of these applied to me"
6.0,0,5955527,54,12/21/20 5:25,vuui9i,,I consent to participate and agree to the terms above,0.14,,"[""Eastern mindfulness (e.g. Satipatthana, or the four foundations of mindfulness)"",""Physical meditation (e.g. breath, body awareness, loving kindness, jhana)""]",,,,55,55,150.0,150.0,0.84,,0,No – I have never practiced or attempted such practices,0,,"[""No, I have never had such experiences""]",,,"No, I have never had such experiences","[""No, I have never had such experiences""]",,,,,,,I haven't attended any.,,"No, I have never had such experiences",,"I read the question, but I never thought any of these applied to me,Extremely rapid perception of “mind moments”"
17.18,0,5955548,54,12/21/20 5:29,vuui9i,,I consent to participate and agree to the terms above,0.14,,"[""Physical meditation (e.g. breath, body awareness, loving kindness, jhana)"",""Christian prayer or spiritual practice""]",,,,800,800,500.0,500.0,0.84,,1,No – I have never practiced or attempted such practices,0,,"[""Yes, I have experience of leaving my body behind to travel to some other place"",""Yes, I have had inexplicable knowledge of something that had not yet happened"",""Yes, I have had inexplicable knowledge of something that was happening elsewhere""]",,,"Yes, I had my point of view suddenly shift out of my body to a different perspective,Yes, I suddenly felt that everything else was very small, or that I was very big,Yes, I unexpectedly experienced a strong sense of vivid brightness and clarity in sensation","[""Yes, I had my point of view suddenly shift out of my body to a different perspective"",""Yes, I suddenly felt that everything else was very small, or that I was very big"",""Yes, I unexpectedly experienced a strong sense of vivid brightness and clarity in sensation""]",,,2.0,2.0,,7.0,I've attended at least one.,7.0,"Yes, I have experience of leaving my body behind to travel to some other place,Yes, I have had inexplicable knowledge of something that had not yet happened,Yes, I have had inexplicable knowledge of something that was happening elsewhere",,"Cosmic Oneness,Breakthrough Experience,Enlightenment,Ego Dissolution"
3.67,0,5955605,54,12/21/20 5:46,vuui9i,,I consent to participate and agree to the terms above,0.14,,"[""Non-physical medication (e.g. visualisation, sacred symbol, sacred text, analytical meditation)""]",,,,20,20,0.0,0.0,0.84,,,No – I have never practiced or attempted such practices,0,,"[""No, I have never had such experiences""]",,,"No, I have never had such experiences","[""No, I have never had such experiences""]",,,1.0,1.0,,7.0,I've attended at least one.,7.0,"No, I have never had such experiences",,Conversion Experience
19.13,0,5955560,54,12/21/20 5:31,vuui9i,,I consent to participate and agree to the terms above,0.14,,[],,,,2,2,2.0,2.0,0.84,,,No – I have never practiced or attempted such practices,0,,"[""No, I have never had such experiences""]",,,"No, I have never had such experiences","[""No, I have never had such experiences""]",,,,,,,I haven't attended any.,,"No, I have never had such experiences",,"I read the question, but I never thought any of these applied to me"
5.48,0,5955624,54,12/21/20 5:51,vuui9i,,I consent to participate and agree to the terms above,0.14,,"[""Something else""]",I think about stuff,I think about stuff,,14,14,2.0,2.0,0.84,,1,No – I have never practiced or attempted such practices,0,,"[""No, I have never had such experiences""]",,,"No, I have never had such experiences","[""No, I have never had such experiences""]",,,,,,,I haven't attended any.,,"No, I have never had such experiences",,"I read the question, but I never thought any of these applied to me"
8.75,0,5955718,54,12/21/20 6:13,vuui9i,,I consent to participate and agree to the terms above,0.14,,[],,,,12,12,6.0,6.0,0.84,,,No – I have never practiced or attempted such practices,0,,"[""No, I have never had such experiences""]",,,"No, I have never had such experiences","[""No, I have never had such experiences""]",,,,,,,I haven't attended any.,,"No, I have never had such experiences",,"I read the question, but I never thought any of these applied to me"
55.07,0,5955557,54,12/21/20 5:31,vuui9i,,I consent to participate and agree to the terms above,0.14,,"[""Tibetan or other Vajrayana spiritual practice"",""Other buddhist spiritual practice"",""Physical meditation (e.g. breath, body awareness, loving kindness, jhana)"",""Theravada/Mahasi/Thai insight meditation"",""Non-physical medication (e.g. visualisation, sacred symbol, sacred text, analytical meditation)""]",,,,600,600,100.0,100.0,0.98,,1,Yes – I did this a little in the past,1,,"[""Yes, I have had visions of other beings, such as angels, demons, djinni, spirits or ghosts"",""Yes, I have had inexplicable knowledge of something that had not yet happened"",""Yes, I have had inexplicable knowledge of what somebody else was thinking about""]",,,"Yes, I suddenly unexpectedly felt strong ecstatic thrills running through my body,Yes, I had my point of view suddenly shift out of my body to a different perspective,Yes, I suddenly felt that everything else was very small, or that I was very big,Yes, I had the sense that everything was unreal, like a dream or a cartoon,Yes, I unexpectedly experienced a strong sense of oneness with the world, or with god,Yes, I unexpectedly experienced a strong sense of vivid brightness and clarity in sensation","[""Yes, I suddenly unexpectedly felt strong ecstatic thrills running through my body"",""Yes, I had my point of view suddenly shift out of my body to a different perspective"",""Yes, I suddenly felt that everything else was very small, or that I was very big"",""Yes, I had the sense that everything was unreal, like a dream or a cartoon"",""Yes, I unexpectedly experienced a strong sense of oneness with the world, or with god"",""Yes, I unexpectedly experienced a strong sense of vivid brightness and clarity in sensation""]",,,1.0,1.0,,1.0,I've attended at least one.,1.0,"Yes, I have had visions of other beings, such as angels, demons, djinni, spirits or ghosts,Yes, I have had inexplicable knowledge of something that had not yet happened,Yes, I have had inexplicable knowledge of what somebody else was thinking about",,"Divine Revelation,Non-Duality,Ego Dissolution,Kundalini,Breakthrough Experience,Samadhi,Ihtida or Hidayah (divine guidance),Awakening,Spiritual Ecstasy,Cosmic Consciousness"
13.52,0,5955743,54,12/21/20 6:22,vuui9i,,I consent to participate and agree to the terms above,0.14,,[],,,,0,0,0.0,0.0,0.84,,,No – I have never practiced or attempted such practices,0,,"[""No, I have never had such experiences""]",,,"No, I have never had such experiences","[""No, I have never had such experiences""]",,,,,,,I haven't attended any.,,"No, I have never had such experiences",,"I read the question, but I never thought any of these applied to me"
15.03,0,5955755,54,12/21/20 6:27,vuui9i,,I consent to participate and agree to the terms above,0.14,,"[""Something else""]",Sit by myself and reflect on my thoughts.,Sit by myself and reflect on my thoughts.,,100,100,250.0,250.0,0.84,,,No – I have never practiced or attempted such practices,0,,"[""No, I have never had such experiences""]",,,"No, I have never had such experiences","[""No, I have never had such experiences""]",,,,,,,I haven't attended any.,,"No, I have never had such experiences",,"I read the question, but I never thought any of these applied to me"
