Minutes Spent,age,device,gender,education,projectID,startedAt,yearOfBirth,educationScore,computerCountry,householdIncome,femaleAs1MaleAs0,householdIncomeScore,householdIncomeEstimate,Run,Program Version,Time Started (UTC),Position,Are you a U.S. citizen and have you already decided to vote for either Joe Biden or Donald Trump for president? (thggqwv),in_GCF_description,in_GCF_risks,Do you consent to participate and agree to these terms? (oo4eyne),agreementScale,America is the best country on earth. (mjzf8w3),I lean conservative on *social* issues (sgmm4bs),Wealthy people are usually wealthy because they worked hard and contributed to society. (h98xuob),There is too much wealth *inequality* in America. (xi8mo6h),Vaccines usually cause more harm than good. (q281jh3),Our country needs free thinkers who have the courage to defy traditional ways. (oin2m4l),"We would be better off if we kicked all the non-citizen immigrants out of our our country, including kicking out those that came here legally. (uox3hud)",There is too much political correctness in this country. (60if1be),My opinion of Donald Trump has gotten worse over the past 4 years. (d1ac29q),"It-s very important that we protect U.S. jobs, and not allow them to disappear to foreign countries. (ailba3w)",We should have a lot of restrictions on the purchase of guns. (jph5o03),There are sometimes good reasons to spank or slap a child. (cp2dqnc),I think that the government should forgive all student debt. (b1r6ndx),Masculinity is mainly a bad thing. (k41q290),Humanity has a significant chance of going extinct in the next 100 years. (iqhz0mc),The fact that animals are commonly kept in tiny cages for most of their lives on factory farms is immoral. (ym9u90o),Corporations should not be trusted. (v40g3rw)
15.15,48,desktop,male,completedOnlyHighSchoolOrTheEquivalent,500ce6da,10/1/20 10:26,1972,2,United States,"$40,000 to $59,999",0.0,3,50000,5712233,131,10/1/20 14:31,sdpbewc,"Yes, I am allowed to vote and I already decided to vote for Joe Biden or Donald Trump","This is a long, scientific study that will ask you many questions about your beliefs, values and personality. At the end of the study (as a thank you for participating) we will show you a personalized report giving you information about yourself based on the questions you answered. It will show you charts of your values, morality and personality!",Participating in this research has no anticipated risks.,I consent to participate and agree to the terms above,"[[""Totally agree"",3],[""Agree"",2],[""Somewhat agree"",1],[""Neither agree nor disagree"",0],[""Somewhat disagree"",-1],[""Disagree"",-2],[""Totally disagree"",-3]]",-2,,-3,3,-3,3.0,-3.0,0.0,3.0,1.0,3.0,1.0,1.0,-1.0,2.0,1.0,3.0
19.33,38,desktop,female,completedMastersDegree,500ce6da,10/1/20 10:26,1982,6,United States,"$40,000 to $59,999",1.0,3,50000,5712197,131,10/1/20 14:27,sdpbewc,"Yes, I am allowed to vote and I already decided to vote for Joe Biden or Donald Trump","This is a long, scientific study that will ask you many questions about your beliefs, values and personality. At the end of the study (as a thank you for participating) we will show you a personalized report giving you information about yourself based on the questions you answered. It will show you charts of your values, morality and personality!",Participating in this research has no anticipated risks.,I consent to participate and agree to the terms above,"[[""Totally agree"",3],[""Agree"",2],[""Somewhat agree"",1],[""Neither agree nor disagree"",0],[""Somewhat disagree"",-1],[""Disagree"",-2],[""Totally disagree"",-3]]",-3,,-2,3,-3,3.0,-2.0,-1.0,3.0,1.0,3.0,-2.0,3.0,-2.0,1.0,3.0,1.0
20.13,27,desktop,male,completedBachelorsDegree,500ce6da,10/1/20 10:26,1993,5,United States,"$25,000 to $39,999",0.0,2,32500,5712193,131,10/1/20 14:26,sdpbewc,"Yes, I am allowed to vote and I already decided to vote for Joe Biden or Donald Trump","This is a long, scientific study that will ask you many questions about your beliefs, values and personality. At the end of the study (as a thank you for participating) we will show you a personalized report giving you information about yourself based on the questions you answered. It will show you charts of your values, morality and personality!",Participating in this research has no anticipated risks.,I consent to participate and agree to the terms above,"[[""Totally agree"",3],[""Agree"",2],[""Somewhat agree"",1],[""Neither agree nor disagree"",0],[""Somewhat disagree"",-1],[""Disagree"",-2],[""Totally disagree"",-3]]",-2,,-2,3,-3,1.0,-2.0,0.0,3.0,0.0,3.0,2.0,3.0,-2.0,2.0,-2.0,2.0
22.07,42,desktop,male,completedAssociateDegreeOnly,500ce6da,10/1/20 10:26,1978,4,United States,"$40,000 to $59,999",0.0,3,50000,5712195,131,10/1/20 14:27,sdpbewc,"Yes, I am allowed to vote and I already decided to vote for Joe Biden or Donald Trump","This is a long, scientific study that will ask you many questions about your beliefs, values and personality. At the end of the study (as a thank you for participating) we will show you a personalized report giving you information about yourself based on the questions you answered. It will show you charts of your values, morality and personality!",Participating in this research has no anticipated risks.,I consent to participate and agree to the terms above,"[[""Totally agree"",3],[""Agree"",2],[""Somewhat agree"",1],[""Neither agree nor disagree"",0],[""Somewhat disagree"",-1],[""Disagree"",-2],[""Totally disagree"",-3]]",3,,2,-2,-2,0.0,-3.0,2.0,0.0,2.0,-2.0,3.0,-3.0,-3.0,-3.0,1.0,2.0
20.65,29,desktop,male,completedBachelorsDegree,500ce6da,10/1/20 10:26,1991,5,United States,"$115,000 to $149,999",0.0,6,132500,5712227,131,10/1/20 14:30,sdpbewc,"Yes, I am allowed to vote and I already decided to vote for Joe Biden or Donald Trump","This is a long, scientific study that will ask you many questions about your beliefs, values and personality. At the end of the study (as a thank you for participating) we will show you a personalized report giving you information about yourself based on the questions you answered. It will show you charts of your values, morality and personality!",Participating in this research has no anticipated risks.,I consent to participate and agree to the terms above,"[[""Totally agree"",3],[""Agree"",2],[""Somewhat agree"",1],[""Neither agree nor disagree"",0],[""Somewhat disagree"",-1],[""Disagree"",-2],[""Totally disagree"",-3]]",3,,3,3,-3,2.0,-3.0,3.0,-3.0,3.0,3.0,3.0,-3.0,-3.0,3.0,3.0,0.0
14.45,21,desktop,male,completedOnlyHighSchoolOrTheEquivalent,500ce6da,10/1/20 10:26,1999,2,United States,"$150,000 to $199,999",0.0,7,175000,5712267,131,10/1/20 14:38,sdpbewc,"Yes, I am allowed to vote and I already decided to vote for Joe Biden or Donald Trump","This is a long, scientific study that will ask you many questions about your beliefs, values and personality. At the end of the study (as a thank you for participating) we will show you a personalized report giving you information about yourself based on the questions you answered. It will show you charts of your values, morality and personality!",Participating in this research has no anticipated risks.,I consent to participate and agree to the terms above,"[[""Totally agree"",3],[""Agree"",2],[""Somewhat agree"",1],[""Neither agree nor disagree"",0],[""Somewhat disagree"",-1],[""Disagree"",-2],[""Totally disagree"",-3]]",0,,-1,2,0,1.0,2.0,0.0,1.0,2.0,0.0,-3.0,3.0,-1.0,0.0,-1.0,3.0
28.02,49,desktop,male,completedOnlyHighSchoolOrTheEquivalent,500ce6da,10/1/20 10:26,1971,2,United States,"$115,000 to $149,999",0.0,6,132500,5712209,131,10/1/20 14:28,sdpbewc,"Yes, I am allowed to vote and I already decided to vote for Joe Biden or Donald Trump","This is a long, scientific study that will ask you many questions about your beliefs, values and personality. At the end of the study (as a thank you for participating) we will show you a personalized report giving you information about yourself based on the questions you answered. It will show you charts of your values, morality and personality!",Participating in this research has no anticipated risks.,I consent to participate and agree to the terms above,"[[""Totally agree"",3],[""Agree"",2],[""Somewhat agree"",1],[""Neither agree nor disagree"",0],[""Somewhat disagree"",-1],[""Disagree"",-2],[""Totally disagree"",-3]]",-2,,-2,3,-3,2.0,-3.0,-2.0,-1.0,-2.0,3.0,-3.0,-2.0,0.0,-3.0,3.0,1.0
28.55,32,desktop,male,completedBachelorsDegree,500ce6da,10/1/20 10:26,1988,5,United States,"$40,000 to $59,999",0.0,3,50000,5712207,131,10/1/20 14:28,sdpbewc,"Yes, I am allowed to vote and I already decided to vote for Joe Biden or Donald Trump","This is a long, scientific study that will ask you many questions about your beliefs, values and personality. At the end of the study (as a thank you for participating) we will show you a personalized report giving you information about yourself based on the questions you answered. It will show you charts of your values, morality and personality!",Participating in this research has no anticipated risks.,I consent to participate and agree to the terms above,"[[""Totally agree"",3],[""Agree"",2],[""Somewhat agree"",1],[""Neither agree nor disagree"",0],[""Somewhat disagree"",-1],[""Disagree"",-2],[""Totally disagree"",-3]]",3,,2,0,1,0.0,0.0,2.0,-2.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0
24.45,46,desktop,female,completedAssociateDegreeOnly,500ce6da,10/1/20 10:26,1974,4,United States,"$25,000 to $39,999",1.0,2,32500,5712243,131,10/1/20 14:32,sdpbewc,"Yes, I am allowed to vote and I already decided to vote for Joe Biden or Donald Trump","This is a long, scientific study that will ask you many questions about your beliefs, values and personality. At the end of the study (as a thank you for participating) we will show you a personalized report giving you information about yourself based on the questions you answered. It will show you charts of your values, morality and personality!",Participating in this research has no anticipated risks.,I consent to participate and agree to the terms above,"[[""Totally agree"",3],[""Agree"",2],[""Somewhat agree"",1],[""Neither agree nor disagree"",0],[""Somewhat disagree"",-1],[""Disagree"",-2],[""Totally disagree"",-3]]",-3,,-3,2,-3,2.0,-3.0,-3.0,3.0,1.0,3.0,-2.0,3.0,-2.0,3.0,2.0,3.0
26.23,25,desktop,male,completedBachelorsDegree,500ce6da,10/1/20 10:26,1995,5,United States,"$40,000 to $59,999",0.0,3,50000,5712230,131,10/1/20 14:31,sdpbewc,"Yes, I am allowed to vote and I already decided to vote for Joe Biden or Donald Trump","This is a long, scientific study that will ask you many questions about your beliefs, values and personality. At the end of the study (as a thank you for participating) we will show you a personalized report giving you information about yourself based on the questions you answered. It will show you charts of your values, morality and personality!",Participating in this research has no anticipated risks.,I consent to participate and agree to the terms above,"[[""Totally agree"",3],[""Agree"",2],[""Somewhat agree"",1],[""Neither agree nor disagree"",0],[""Somewhat disagree"",-1],[""Disagree"",-2],[""Totally disagree"",-3]]",1,,1,1,-1,-2.0,0.0,-1.0,-1.0,-1.0,0.0,1.0,1.0,-2.0,-2.0,2.0,-2.0
