word num,number,word,"factor 1 - positive (happy, fun, bright vs. sad, boring, dark)","factor 2 - ordinary (cheap, basic, common vs. expensive, fancy, rare)","factor 3 - put together (organized, proper, sane vs. chaotic, scandalous, crazy)","factor 4 - little (small, quiet, thin vs. large, loud, thick)","factor 5 - smooth (soft, chewy, rounded vs hard, crunchy, angular)","1 : [-small-, -large-]","2 : [-angular-, -rounded-]","3 : [-fast-, -slow-]","4 : [-bright-, -dark-]","5 : [-sophisticated-, -rugged-]","6 : [-short-term-, -long-term-]","7 : [-happy-, -sad-]","8 : [-masculine-, -feminine-]","9 : [-few-, -many-]","10 : [-low-tech-, -high-tech-]","11 : [-cheap-, -expensive-]","12 : [-colorful-, -monochrome-]","13 : [-sharp-, -blunt-]","14 : [-old-, -new-]","15 : [-emotional-, -logical-]","16 : [-angry-, -calm-]","17 : [-linear-, -circular-]","18 : [-loud-, -quiet-]","19 : [-bad-, -good-]","20 : [-friendly-, -hostile-]","21 : [-social-, -recusive-]","22 : [-industrial-, -domestic-]","23 : [-angelic-, -demonic-]","24 : [-organized-, -chaotic-]","25 : [-human-, -animal-]","26 : [-lewd-, -tasteful-]","27 : [-proper-, -scandalous-]","28 : [-healthy-, -sick-]","29 : [-near-, -far-]","30 : [-important-, -irrelevant-]","31 : [-dead-, -alive-]","32 : [-weird-, -normal-]"
W#10,10, bun,0.61,0.78,0.58,0.47,0.86,0.333,0.942,0.541,0.316,0.561,0.21,0.361,0.664,0.538,0.189,0.224,0.59,0.891,0.492,0.426,0.736,0.887,0.646,0.69,0.192,0.422,0.798,0.368,0.402,0.661,0.643,0.363,0.381,0.359,0.675,0.4,0.582
W#213,213, moop,0.23,0.79,0.27,0.53,0.86,0.346,0.825,0.796,0.77,0.789,0.321,0.832,0.398,0.566,0.165,0.14,0.734,0.871,0.259,0.149,0.646,0.777,0.708,0.291,0.317,0.692,0.643,0.652,0.728,0.754,0.229,0.718,0.829,0.455,0.832,0.177,0.307
W#6,6, bub,0.66,0.77,0.38,0.46,0.82,0.31,0.903,0.762,0.251,0.757,0.107,0.361,0.228,0.301,0.227,0.196,0.54,0.864,0.374,0.221,0.664,0.854,0.547,0.576,0.16,0.355,0.647,0.493,0.599,0.602,0.446,0.564,0.55,0.27,0.744,0.431,0.399
W#477," ""477"" ", bouba,0.6,0.49,0.3,0.21,0.82,0.73,0.898,0.703,0.434,0.584,0.368,0.378,0.643,0.729,0.283,0.57,0.272,0.823,0.474,0.267,0.636,0.867,0.278,0.57,0.181,0.44,0.711,0.547,0.67,0.697,0.543,0.667,0.586,0.471,0.683,0.484,0.341
W#142,142, wub,0.36,0.69,0.3,0.39,0.81,0.437,0.853,0.731,0.614,0.759,0.286,0.719,0.417,0.497,0.306,0.234,0.529,0.849,0.35,0.295,0.594,0.805,0.481,0.466,0.248,0.584,0.527,0.535,0.747,0.756,0.241,0.66,0.777,0.46,0.813,0.447,0.271
W#406," ""406"" ", fulf,0.57,0.56,0.3,0.39,0.78,0.58,0.767,0.602,0.396,0.592,0.443,0.424,0.635,0.63,0.343,0.398,0.316,0.795,0.351,0.286,0.456,0.693,0.575,0.4,0.416,0.551,0.582,0.513,0.72,0.908,0.381,0.649,0.612,0.618,0.774,0.474,0.219
W#141,141, wob,0.27,0.68,0.26,0.31,0.78,0.59,0.87,0.763,0.671,0.723,0.324,0.845,0.427,0.569,0.296,0.316,0.685,0.846,0.316,0.239,0.523,0.844,0.309,0.257,0.44,0.604,0.614,0.734,0.788,0.737,0.237,0.676,0.809,0.591,0.781,0.315,0.172
W#563," ""563"" ", noodile,0.55,0.67,0.32,0.71,0.77,0.234,0.683,0.562,0.38,0.57,0.459,0.457,0.644,0.576,0.307,0.249,0.628,0.695,0.684,0.495,0.682,0.515,0.627,0.506,0.311,0.541,0.67,0.45,0.596,0.71,0.494,0.739,0.681,0.316,0.77,0.461,0.362
W#530," ""530"" ", onama,0.54,0.37,0.55,0.43,0.77,0.595,0.739,0.616,0.443,0.319,0.495,0.5,0.739,0.592,0.464,0.636,0.583,0.71,0.438,0.361,0.791,0.762,0.553,0.567,0.333,0.527,0.66,0.506,0.355,0.607,0.539,0.386,0.545,0.545,0.489,0.488,0.5
W#247,247, wew,0.71,0.44,0.21,0.55,0.76,0.39,0.641,0.255,0.254,0.577,0.276,0.31,0.727,0.417,0.479,0.486,0.385,0.543,0.568,0.176,0.684,0.698,0.438,0.685,0.326,0.488,0.633,0.436,0.754,0.724,0.364,0.793,0.607,0.551,0.68,0.637,0.228
W#53,53, gom,0.27,0.64,0.38,0.31,0.76,0.652,0.8,0.811,0.809,0.752,0.48,0.716,0.254,0.592,0.23,0.405,0.719,0.809,0.208,0.503,0.563,0.766,0.406,0.444,0.488,0.628,0.556,0.812,0.675,0.645,0.351,0.505,0.791,0.562,0.746,0.19,0.366
W#490," ""490"" ", bofoea,0.48,0.34,0.31,0.29,0.75,0.642,0.772,0.608,0.462,0.478,0.494,0.612,0.679,0.544,0.281,0.62,0.438,0.812,0.321,0.35,0.448,0.757,0.329,0.429,0.516,0.554,0.629,0.531,0.721,0.79,0.458,0.58,0.733,0.697,0.65,0.431,0.253
W#54,54, goy,0.61,0.54,0.29,0.37,0.75,0.489,0.731,0.508,0.422,0.484,0.367,0.274,0.264,0.617,0.305,0.44,0.463,0.689,0.329,0.348,0.5,0.782,0.318,0.643,0.318,0.451,0.69,0.623,0.682,0.616,0.333,0.673,0.694,0.678,0.645,0.471,0.219
W#245,245, ube,0.45,0.53,0.49,0.39,0.75,0.591,0.789,0.547,0.514,0.592,0.369,0.52,0.363,0.516,0.508,0.515,0.554,0.777,0.519,0.473,0.649,0.791,0.444,0.574,0.317,0.591,0.465,0.537,0.442,0.5,0.306,0.491,0.675,0.534,0.554,0.458,0.359
W#561," ""561"" ", dropellet,0.42,0.5,0.42,0.74,0.75,0.157,0.81,0.549,0.341,0.34,0.199,0.761,0.69,0.378,0.372,0.374,0.471,0.634,0.505,0.311,0.594,0.764,0.789,0.474,0.42,0.715,0.5,0.344,0.643,0.7,0.544,0.554,0.685,0.414,0.678,0.269,0.41
W#198,198, mopa,0.35,0.61,0.36,0.41,0.75,0.515,0.754,0.657,0.572,0.63,0.44,0.74,0.533,0.709,0.309,0.336,0.603,0.756,0.33,0.225,0.543,0.754,0.514,0.437,0.372,0.543,0.585,0.557,0.672,0.726,0.415,0.5,0.727,0.521,0.63,0.308,0.36
W#212,212, looz,0.4,0.62,0.13,0.51,0.75,0.582,0.723,0.73,0.482,0.646,0.462,0.713,0.451,0.449,0.161,0.209,0.525,0.725,0.237,0.336,0.603,0.686,0.484,0.257,0.426,0.645,0.627,0.654,0.881,0.698,0.246,0.887,0.861,0.684,0.848,0.39,0.235
